"id","postingdate","username","permalink","header","posting_type","recipients","impact","likesfavorites","sharesretweets","reach"
"6747021004","2017-01-01T00:52:51.000000","D_Ifrah","http://twitter.com/D_Ifrah/statuses/815345003350425600","@Leentje2405 dank je wel!","1","[u'Leentje2405']","60","0","0","1"
"6747021031","2017-01-01T00:51:50.000000","ScaleLabBenelux","http://twitter.com/ScaleLabBenelux/statuses/815344748131184640","ScaleLab Benelux bestaat nog niet zo lang! Maar toch hebben we een geweldige community opgezet in de tijd! Iedereen een super tof 2017 ^D","0","[]","1","3","0","605"
"6747021057","2017-01-01T00:50:53.000000","NotintheAsylum","http://twitter.com/NotintheAsylum/statuses/815344507638153217","@Heallarious   Wel, daar is 't in ieder geval niet super mistig !   :-D  De beste wensen !","1","[u'Heallarious']","1","0","0","1"
"6747021080","2017-01-01T00:49:52.000000","Leentje2405","http://twitter.com/Leentje2405/statuses/815344252985233408","Voor jou ook @D_Ifrah! Gelukkig nieuw jaar ","1","[u'D_Ifrah']","12","0","0","105"
"6747021129","2017-01-01T00:31:06.000000","CoreIce","http://twitter.com/CoreIce/statuses/815339528948948992","@Spamkip hoor het idd :D.","1","[u'Spamkip']","12","0","0","1"
"6783580662","2017-01-25T15:56:36.000000","jvries_manas","http://twitter.com/jvries_manas/statuses/824269745373532160","@RenskeLeijten Ben benieuwd hoe @HenkvGerven aankijkt tegen deze docu's en hoe de omslag in het minder verstrekken van medicijnen te regelen","1","[u'RenskeLeijten']","1","0","0","1"
"6783580693","2017-01-25T15:51:12.000000","TeppixZeRo","http://twitter.com/TeppixZeRo/statuses/824268385882177536","@SSkuppy @sevngames @TeppixClan ja  alleen een beetje vaak hea met ""je mening""","1","[u'SSkuppy']","1","0","0","1"
"6783580783","2017-01-25T15:56:24.000000","NBWaaromNiet","http://twitter.com/NBWaaromNiet/statuses/824269695104729088","RT @NBWaaromNiet: Professor Lucas Reijnders over de schadelijke effecten van #natuurbegraven https://vimeo.com/197778029 https://t.co/Odb1ze5pTh","0","[]","1","0","4","107"
"6779784775","2017-01-23T15:02:48.000000","Flatwound","http://twitter.com/Flatwound/statuses/823531431569788928","RT @pvdmeersch: Als ik Rutte in die advertentie lees voel ik me plots veel minder thuis in dit mooie land. #doeeensnormaal","0","[]","12","0","29","572"
"6783580725","2017-01-24T17:12:37.000000","P2000LaagSoeren","http://twitter.com/P2000LaagSoeren/statuses/823926490584596480","GLM_Prio 2 BR Container (kledingcontainer) #EDE-0058# Sportschool Veenendaal Laan der Verenigde Natie 92 EDE 07ch09 072941""Blusgroep  /","0","[]","1","0","0","86"
