"","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore","Distance"
"Precision372",0,0,NA,0.616360721442886,-0.0936258950985344,0.823752969121,0.739475555556,0.779342463198,422
"Precision371",0,0,NA,0.614428857715431,-0.0936849252024295,0.82380952381,0.736888888889,0.77792875256,421
"Precision370",0,0,NA,0.612513026052104,-0.0937297613621014,0.823866348449,0.73432,0.776520135214,420
"Precision369",0,0,NA,0.610613226452906,-0.0937606152351116,0.823923444976,0.731768888889,0.775116686937,419
"Precision368",0,0,NA,0.608729458917836,-0.0937776919761085,0.823980815348,0.729235555556,0.773718483662,418
"Precision367",0,0,NA,0.606861723446894,-0.0937811904515453,0.824038461538,0.72672,0.772325601467,417
"Precision366",0,0,NA,0.60501002004008,-0.0937713034455835,0.824096385542,0.724222222222,0.770938116573,416
"Precision365",0,0,NA,0.603174348697395,-0.0937482178575891,0.824154589372,0.721742222222,0.769556105332,415
"Precision364",0,0,NA,0.601354709418838,-0.0937121148916136,0.824213075061,0.71928,0.768179644222,414
"Precision363",0,0,NA,0.599551102204409,-0.0936631702382348,0.82427184466,0.716835555556,0.766808809838,413
"Precision362",0,0,NA,0.597763527054108,-0.0936015542491089,0.824330900243,0.714408888889,0.765443678884,412
"Precision361",0,0,NA,0.595991983967936,-0.0935274321045631,0.824390243902,0.712,0.764084328169,411
"Precision360",0,0,NA,0.594236472945892,-0.0934409639745458,0.824449877751,0.709608888889,0.762730834591,410
"Precision359",0,0,NA,0.592496993987976,-0.0933423051732378,0.824509803922,0.707235555556,0.761383275137,409
"Precision358",0,0,NA,0.590773547094188,-0.093231606307604,0.82457002457,0.70488,0.760041726871,408
"Precision357",0,0,NA,0.589066132264529,-0.0931090134201552,0.824630541872,0.702542222222,0.758706266927,407
"Precision356",0,0,NA,0.587374749498998,-0.0929746681261777,0.824691358025,0.700222222222,0.757376972497,406
"Precision355",0,0,NA,0.585699398797595,-0.092828707745675,0.824752475248,0.69792,0.756053920829,405
"Precision354",0,0,NA,0.584040080160321,-0.0926712654302482,0.824813895782,0.695635555556,0.754737189214,404
"Precision353",0,0,NA,0.582396793587174,-0.0925024702851343,0.824875621891,0.693368888889,0.753426854978,403
"Precision352",0,0,NA,0.580769539078156,-0.092322447486617,0.82493765586,0.69112,0.752122995474,402
"Precision351",0,0,NA,0.579158316633267,-0.0921313183949976,0.825,0.688888888889,0.750825688073,401
"Precision350",0,0,NA,0.577563126252505,-0.0919292006633259,0.825062656642,0.686675555556,0.749535010158,400
"Precision349",0,0,NA,0.575983967935872,-0.0917162083420604,0.825125628141,0.68448,0.748251039108,399
"Precision348",0,0,NA,0.574420841683367,-0.0914924519798319,0.825188916877,0.682302222222,0.746973852297,398
"Precision347",0,0,NA,0.57287374749499,-0.0912580387204764,0.825252525253,0.680142222222,0.74570352708,397
"Precision346",0,0,NA,0.571342685370742,-0.0910130723964831,0.825316455696,0.678,0.744440140786,396
"Precision345",0,0,NA,0.569827655310621,-0.090757653619015,0.82538071066,0.675875555556,0.743183770707,395
"Precision344",0,0,NA,0.568328657314629,-0.0904918798646314,0.825445292621,0.673768888889,0.741934494093,394
"Precision343",0,0,NA,0.566845691382766,-0.0902158455588567,0.825510204082,0.67168,0.740692388136,393
"Precision342",0,0,NA,0.56537875751503,-0.0899296421567115,0.82557544757,0.669608888889,0.739457529967,392
"Precision341",0,0,NA,0.563927855711423,-0.0896333582203383,0.825641025641,0.667555555556,0.738229996642,391
"Precision340",0,0,NA,0.562492985971944,-0.0893270794938293,0.825706940874,0.66552,0.737009865136,390
"Precision339",0,0,NA,0.561074148296593,-0.0890108889753687,0.825773195876,0.663502222222,0.735797212332,389
"Precision338",0,0,NA,0.559671342685371,-0.0886848669867994,0.825839793282,0.661502222222,0.734592115009,388
"Precision337",0,0,NA,0.558284569138277,-0.088349091240706,0.825906735751,0.65952,0.733394649837,387
"Precision336",0,0,NA,0.556913827655311,-0.0880036369051202,0.825974025974,0.657555555556,0.732204893365,386
"Precision335",0,0,NA,0.555559118236473,-0.0876485766659294,0.826041666667,0.655608888889,0.731022922009,385
"Precision334",0,0,NA,0.554220440881763,-0.0872839807870862,0.826109660574,0.65368,0.729848812046,384
"Precision333",0,0,NA,0.552897795591182,-0.0869099171686959,0.826178010471,0.651768888889,0.728682639603,383
"Precision332",0,0,NA,0.551591182364729,-0.0865264514030614,0.82624671916,0.649875555556,0.727524480644,382
"Precision331",0,0,NA,0.550300601202405,-0.0861336468287687,0.826315789474,0.648,0.726374410967,381
"Precision330",0,0,NA,0.549026052104208,-0.0857315645828763,0.826385224274,0.646142222222,0.725232506185,380
"Precision329",0,0,NA,0.54776753507014,-0.0853202636512886,0.826455026455,0.644302222222,0.724098841723,379
"Precision328",0,0,NA,0.5465250501002,-0.084899800917369,0.826525198939,0.64248,0.722973492807,378
"Precision327",0,0,NA,0.545298597194389,-0.0844702312088678,0.826595744681,0.640675555556,0.72185653445,377
"Precision326",0,0,NA,0.544088176352705,-0.0840316073432164,0.826666666667,0.638888888889,0.720748041446,376
"Precision325",0,0,NA,0.54289378757515,-0.0835839801712532,0.826737967914,0.63712,0.719648088357,375
"Precision324",0,0,NA,0.541715430861723,-0.083127398619431,0.826809651475,0.635368888889,0.718556749505,374
"Precision323",0,0,NA,0.540553106212425,-0.0826619097305659,0.82688172043,0.633635555556,0.717474098962,373
"Precision322",0,0,NA,0.539406813627255,-0.082187558703175,0.826954177898,0.63192,0.716400210538,372
"Precision321",0,0,NA,0.538276553106212,-0.0817043889294505,0.827027027027,0.630222222222,0.71533515777,371
"Precision320",0,0,NA,0.537162324649299,-0.0812124420319233,0.827100271003,0.628542222222,0.714279013915,370
"Precision319",0,0,NA,0.536064128256513,-0.080711757898854,0.827173913043,0.62688,0.713231851938,369
"Precision318",0,0,NA,0.534981963927856,-0.0802023747184002,0.827247956403,0.625235555556,0.712193744501,368
"Precision317",0,0,NA,0.533915831663327,-0.0796843290115975,0.827322404372,0.623608888889,0.711164763955,367
"Precision316",0,0,NA,0.532865731462926,-0.0791576556641979,0.827397260274,0.622,0.710144982326,366
"Precision315",0,0,NA,0.531831663326653,-0.0786223879573975,0.827472527473,0.620408888889,0.70913447131,365
"Precision314",0,0,NA,0.530813627254509,-0.0780785575974978,0.827548209366,0.618835555556,0.708133302257,364
"Precision313",0,0,NA,0.529811623246493,-0.077526194744529,0.827624309392,0.61728,0.707141546164,363
"Precision312",0,0,NA,0.528825651302605,-0.0769653280398711,0.827700831025,0.615742222222,0.706159273667,362
