"","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore","Distance"
"Precision365",0,0,NA,0.992031936127745,0.983374080698369,0.992131678672,0.992059716184,0.992095696123,365
"Precision364",0,0,NA,0.992031936127745,0.983399316779973,0.992130846221,0.992059836371,0.992095340026,364
"Precision363",0,0,NA,0.992031936127745,0.983423810911403,0.992130025663,0.992059957221,0.992094990205,363
"Precision362",0,0,NA,0.992031936127745,0.983447581101529,0.992129216744,0.992060078738,0.992094646536,362
"Precision361",0,0,NA,0.992031936127745,0.983470644910285,0.992128419218,0.992060200928,0.9920943089,361
"Precision360",0,0,NA,0.992031936127745,0.983493019464494,0.992127632846,0.992060323797,0.99209397718,360
"Precision359",0,0,NA,0.992031936127745,0.983514721473013,0.992126857396,0.99206044735,0.992093651262,359
"Precision358",0,0,NA,0.992031936127745,0.983535767241202,0.992126092642,0.992060571594,0.992093331036,358
"Precision357",0,0,NA,0.992031936127745,0.983556172684778,0.992125338364,0.992060696534,0.992093016396,357
"Precision356",0,0,NA,0.992031936127745,0.983575953343054,0.992124594349,0.992060822176,0.992092707237,356
"Precision355",0,0,NA,0.992031936127745,0.983595124391622,0.992123860387,0.992060948525,0.992092403459,355
"Precision354",0,0,NA,0.992031936127745,0.983613700654472,0.992123136278,0.992061075589,0.992092104963,354
"Precision353",0,0,NA,0.992031936127745,0.983631696615609,0.992122421823,0.992061203372,0.992091811653,353
"Precision352",0,0,NA,0.992031936127745,0.983649126430156,0.992121716831,0.992061331882,0.992091523438,352
"Precision351",0,0,NA,0.992031936127745,0.983666003934993,0.992121021116,0.992061461123,0.992091240226,351
"Precision350",0,0,NA,0.992031936127745,0.983682342658938,0.992120334494,0.992061591104,0.992090961929,350
"Precision349",0,0,NA,0.992031936127745,0.983698155832495,0.99211965679,0.992061721829,0.992090688464,349
"Precision348",0,0,NA,0.992031936127745,0.98371345639719,0.992118987831,0.992061853305,0.992090419745,348
"Precision347",0,0,NA,0.992031936127745,0.983728257014505,0.992118327448,0.992061985539,0.992090155693,347
"Precision346",0,0,NA,0.992031936127745,0.98374257007444,0.992117675477,0.992062118537,0.992089896229,346
"Precision345",0,0,NA,0.992031936127745,0.983756407703707,0.992117031759,0.992062252307,0.992089641277,345
"Precision344",0,0,NA,0.992031936127745,0.98376978177358,0.992116396139,0.992062386854,0.992089390761,344
"Precision343",0,0,NA,0.992031936127745,0.983782703907412,0.992115768463,0.992062522186,0.99208914461,343
"Precision342",0,0,NA,0.992031936127745,0.983795185487829,0.992115148585,0.992062658309,0.992088902753,342
"Precision341",0,0,NA,0.992031936127745,0.983807237663629,0.992114536359,0.992062795231,0.99208866512,341
"Precision340",0,0,NA,0.992031936127745,0.983818871356377,0.992113931646,0.992062932958,0.992088431646,340
"Precision339",0,0,NA,0.992031936127745,0.983830097266732,0.992113334307,0.992063071497,0.992088202265,339
"Precision338",0,0,NA,0.992031936127745,0.983840925880489,0.992112744209,0.992063210856,0.992087976914,338
"Precision337",0,0,NA,0.992031936127745,0.983851367474385,0.99211216122,0.992063351043,0.992087755531,337
"Precision336",0,0,NA,0.992031936127745,0.983861432121636,0.992111585213,0.992063492063,0.992087538055,336
"Precision335",0,0,NA,0.992031936127745,0.983871129697253,0.992111016063,0.992063633926,0.992087324429,335
"Precision334",0,0,NA,0.992031936127745,0.983880469883118,0.992110453649,0.992063776638,0.992087114595,334
"Precision333",0,0,NA,0.992031936127745,0.983889462172856,0.992109897851,0.992063920208,0.992086908497,333
"Precision332",0,0,NA,0.992031936127745,0.98389811587648,0.992109348554,0.992064064642,0.992086706081,332
"Precision331",0,0,NA,0.992031936127745,0.983906440124846,0.992108805645,0.992064209949,0.992086507295,331
"Precision330",0,0,NA,0.992031936127745,0.983914443873915,0.992108269011,0.992064356136,0.992086312088,330
"Precision329",0,0,NA,0.992031936127745,0.98392213590882,0.992107738546,0.992064503212,0.992086120408,329
"Precision328",0,0,NA,0.992031936127745,0.98392952484776,0.992107214143,0.992064651185,0.992085932208,328
"Precision327",0,0,NA,0.992031936127745,0.983936619145727,0.9921066957,0.992064800063,0.992085747439,327
"Precision326",0,0,NA,0.992031936127745,0.983943427098057,0.992106183114,0.992064949855,0.992085566056,326
"Precision325",0,0,NA,0.992031936127745,0.983949956843829,0.992105676288,0.992065100568,0.992085388013,325
"Precision324",0,0,NA,0.992031936127745,0.983956216369114,0.992105175125,0.992065252212,0.992085213266,324
"Precision323",0,0,NA,0.992031936127745,0.983962213510068,0.99210467953,0.992065404794,0.992085041773,323
"Precision322",0,0,NA,0.992031936127745,0.983967955955895,0.992104189411,0.992065558324,0.992084873492,322
"Precision321",0,0,NA,0.992031936127745,0.983973451251663,0.992103704679,0.992065712811,0.992084708381,321
"Precision320",0,0,NA,0.992031936127745,0.983978706801002,0.992103225244,0.992065868263,0.992084546402,320
"Precision319",0,0,NA,0.992031936127745,0.983983729868665,0.99210275102,0.99206602469,0.992084387515,319
"Precision318",0,0,NA,0.992031936127745,0.983988527582975,0.992102281923,0.992066182101,0.992084231684,318
"Precision317",0,0,NA,0.992031936127745,0.983993106938155,0.99210181787,0.992066340505,0.99208407887,317
"Precision316",0,0,NA,0.992031936127745,0.983997474796543,0.99210135878,0.992066499912,0.992083929039,316
"Precision315",0,0,NA,0.992031936127745,0.984001637890707,0.992100904574,0.99206666033,0.992083782156,315
"Precision314",0,0,NA,0.992031936127745,0.98400560282545,0.992100455174,0.99206682177,0.992083638187,314
"Precision313",0,0,NA,0.992031936127745,0.984009376079715,0.992100010505,0.992066984242,0.992083497099,313
"Precision312",0,0,NA,0.992031936127745,0.984012964008406,0.992099570493,0.992067147756,0.992083358859,312
"Precision311",0,0,NA,0.992031936127745,0.9840163728441,0.992099135063,0.992067312321,0.992083223437,311
"Precision310",0,0,NA,0.992031936127745,0.984019608698687,0.992098704146,0.992067477947,0.992083090801,310
"Precision309",0,0,NA,0.992031936127745,0.984022677564917,0.992098277671,0.992067644646,0.992082960922,309
"Precision308",0,0,NA,0.992031936127745,0.984025585317866,0.992097855571,0.992067812427,0.992082833772,308
"Precision307",0,0,NA,0.992031936127745,0.984028337716328,0.992097437778,0.992067981301,0.992082709321,307
"Precision306",0,0,NA,0.992031936127745,0.984030940404128,0.992097024226,0.992068151279,0.992082587542,306
"Precision305",0,0,NA,0.992031936127745,0.984033398911364,0.992096614851,0.992068322372,0.99208246841,305
"Precision304",0,0,NA,0.992031936127745,0.984035718655584,0.992096209591,0.99206849459,0.992082351897,304
"Precision303",0,0,NA,0.992031936127745,0.984037904942892,0.992095808383,0.992068667945,0.992082237978,303
"Precision302",0,0,NA,0.992031936127745,0.984039962968991,0.992095411168,0.992068842448,0.99208212663,302
"Precision301",0,0,NA,0.992031936127745,0.984041897820169,0.992095017885,0.99206901811,0.992082017827,301
"Precision300",0,0,NA,0.992031936127745,0.984043714474225,0.992094628477,0.992069194943,0.992081911547,300
"Precision299",0,0,NA,0.992031936127745,0.984045417801336,0.992094242887,0.99206937296,0.992081807767,299
"Precision298",0,0,NA,0.992031936127745,0.984047012564876,0.992093861058,0.992069552171,0.992081706466,298
"Precision297",0,0,NA,0.992031936127745,0.98404850342218,0.992093482937,0.992069732589,0.992081607621,297
"Precision296",0,0,NA,0.992031936127745,0.984049894925264,0.992093108469,0.992069914226,0.992081511212,296
"Precision295",0,0,NA,0.992031936127745,0.984051191521492,0.992092737602,0.992070097094,0.992081417219,295
"Precision294",0,0,NA,0.992031936127745,0.984052397554204,0.992092370283,0.992070281206,0.992081325622,294
"Precision293",0,0,NA,0.992031936127745,0.984053517263301,0.992092006463,0.992070466575,0.992081236402,293
"Precision292",0,0,NA,0.992031936127745,0.984054554785788,0.992091646092,0.992070653214,0.992081149542,292
